03:59:41  |  Core  |  Warning  |  duplicate resource name 'MenuItemCheckButtonSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ProgressBarTrackHSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MultiListButtonSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_OnePieceTemplates.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Warning  |  duplicate resource name 'CheckBox'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'RadioButton'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ScrollBarH'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ScrollBarV'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'SliderH'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'SliderV'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'SliderHEmpty'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'SliderVEmpty'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'Button'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ButtonImage'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'TextBox'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'EditBox'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'EditBoxStretch'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'EditBoxEmpty'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'WordWrapEmpty'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ComboBox'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'Window'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'WindowC'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'WindowCS'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'WindowCX'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'WindowCSX'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MenuBar'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MenuBarButton'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MenuBarSeparator'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'PopupMenu'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'PopupMenuSeparator'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'PopupMenuNormal'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'PopupMenuPopup'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ProgressBar'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ProgressBarFill'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ListBoxItem'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ListBox'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ItemBox'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ItemBoxEmpty'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ScrollView'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ScrollViewEmpty'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'TabHeaderButton'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'TabControl'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MultiListBox'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MultiListButton'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MultiSubListBox'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_PointerImages.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
